RollNo,Name,Date,Attendance
10001,Ayesha,2025-11-23,P
10002,Armaan,2025-11-23,P
10003,Maya,2025-11-23,P
10004,Abhay,2025-11-23,P
10005,Anjali,2025-11-23,A
10006,Rahul,2025-11-23,P
10007,Amaira,2025-11-23,A
10008,Ayush,2025-11-23,P
10009,Zain,2025-11-23,P
10010,Rabia,2025-11-23,P
10012,Ishika,2025-11-23,P
10001,Ayesha,2025-11-24,P
10002,Armaan,2025-11-24,P
10003,Maya,2025-11-24,P
10004,Abhay,2025-11-24,P
10005,Anjali,2025-11-24,P
10006,Rahul,2025-11-24,A
10007,Amaira,2025-11-24,P
10008,Ayush,2025-11-24,A
10009,Zain,2025-11-24,P
10010,Rabia,2025-11-24,P
10012,Ishika,2025-11-24,A
10001,Ayesha,2025-11-25,P
10002,Armaan,2025-11-25,P
10003,Maya,2025-11-25,P
10004,Abhay,2025-11-25,P
10005,Anjali,2025-11-25,P
10006,Rahul,2025-11-25,A
10007,Amaira,2025-11-25,P
10008,Ayush,2025-11-25,P
10009,Zain,2025-11-25,A
10010,Rabia,2025-11-25,P
10012,Ishika,2025-11-25,P
10013,Zaira,2025-11-25,P
